stone_id,stone_name,stone_type,origin_country,color_main,color_secondary,color_tone,pattern_type,style_tag,price_min,price_max,popular_use,indoor_outdoor,luxury_level,source_url,price_cut_min,price_cut_max
G001,BLUE PEARL #2,granite,Norway,blue,grey,dark,speckled,luxury,2490,2890,"kitchen_counter, bar_counter, table_top, floor",both,mid,https://www.siamtak.com/products/blue-pearl-2,3790,4390
G002,AFRICAN BLACK,granite,India,black,grey,dark,linear,modern,1890,2590,"kitchen_counter, stairs, floor, wall",both,high,https://www.siamtak.com/products/african-black,2890,3890
G003,RIVER GOLD,granite,India,beige,brown,light,vein,classic,1990,1990,"kitchen_counter, wall, floor, island",both,mid,https://www.siamtak.com/products/river-gold,2990,2990
G004,RIVER WHITE,granite,India,white,gray,light,vein,modern,1790,2390,"kitchen_counter, wall, island, bathroom",both,high,https://www.siamtak.com/products/river-white,2690,3590
G005,BIANCO BLACK,granite,India,black,white,dark,patch,luxury,1790,2390,"kitchen_counter, island, wall, floor",both,high,https://www.siamtak.com/products/bianco-black,2990,3590
G006,CLASSICAL WHITE,granite,India,white,black,light,speckle,classic,1790,1990,"kitchen_counter, floor, wall",both,mid,https://www.siamtak.com/products/classic-white,2890,2990
G007,BLACK FOREST,granite,India,black,white,dark,vein,luxury,1890,2490,"kitchen_counter, island, feature_wall",both,high,https://www.siamtak.com/products/black-forest,2890,3790
G008,VISCON WHITE,granite,India,white,gray,cool,vein,modern,1590,2490,"kitchen_counter, island, floor, wall",both,high,https://www.siamtak.com/products/viscon-white,2390,3790
G009,TITANIUM BLACK,granite,Brazil,black,gold,dark,vein,luxury,2190,2590,"kitchen_counter, island, feature_wall",both,high,https://www.siamtak.com/products/titanium-black,3290,3890
G010,BLACK GALAXY,granite,India,black,gold,dark,speckle,luxury,1990,2490,"kitchen_counter, island, floor, wall",both,high,https://www.siamtak.com/products/black-galaxy,2990,3790
G011,EMERALD PEARL,granite,Norway,green,black,dark,crystal,luxury,3479,3590,"kitchen_counter, island, feature_wall, reception_counter",both,premium,https://www.siamtak.com/products/emerald-pearl,5290,5390
G012,ECLIPSE,granite,Brazil,black,white,dark,patch,luxury,2990,3890,"kitchen_counter, island, feature_wall",both,premium,https://www.siamtak.com/products/eclipse,4490,5890
G013,MONALISA,granite,India,beige,brown,warm,vein,classic,2190,2190,"wall, floor, bathroom, feature_wall",both,high,https://www.siamtak.com/products/monalisa,3290,3290
G014,TITANIUM GOLD,granite,India,black,gold,dark,patch,luxury,3590,3590,"island, feature_wall, kitchen_counter, reception_counter",both,premium,https://www.siamtak.com/products/titanium-gold,5390,5390
G015,INDIAN BLACK,granite,India,black,gray,dark,speckle,modern,1350,1600,"kitchen_counter, bathroom_counter, floor",both,mid,https://www.siamtak.com/products/indian-black,2390,2690
G016,AZUL WHITE,granite,India,white,gray,light,patch,luxury,2490,2490,"island, feature_wall, kitchen_counter",both,mid,https://www.siamtak.com/products/azul-white,3790,3790
